date,open,high,low,close
2007-06-29T00:00:00,1024.68,1024.68,1020.64,1024.68
2007-07-02T00:00:00,1015.71,1015.71,1015.71,994.17
2007-07-03T00:00:00,977.3,977.3,975.4,977.3
2007-07-04T00:00:00,1013.56,1013.56,996.14,1013.56
2007-07-05T00:00:00,1013.95,1013.95,1013.95,1012.82
2007-07-06T00:00:00,1010.53,1010.53,1008.36,1010.53
2007-07-09T00:00:00,1010.27,1010.27,1004.39,1010.27
2007-07-10T00:00:00,1023.04,1023.04,1015.15,1023.04
2007-07-11T00:00:00,1032.71,1032.71,1029.85,1029.85
2007-07-12T00:00:00,1025.72,1025.72,1025.72,1017.68
2007-07-13T00:00:00,1015.73,1015.73,1010.71,1015.73
2007-07-16T00:00:00,1005.16,1005.16,1005.16,995.83
2007-07-17T00:00:00,1001.05,1001.05,995.86,1000.33
2007-07-18T00:00:00,998.75,998.75,998.75,994.73
2007-07-19T00:00:00,990.84,990.84,990.84,984.43
2007-07-20T00:00:00,982.17,982.17,980.35,981.31
2007-07-23T00:00:00,979.23,979.23,979.23,979.23
2007-07-24T00:00:00,983.53,983.53,982.17,982.43
2007-07-25T00:00:00,975.08,975.08,975.08,972.56
2007-07-26T00:00:00,965.92,965.92,965.92,956.13
2007-07-27T00:00:00,946.03,946.03,946.03,940.36
2007-07-30T00:00:00,931.55,931.55,931.55,925.44
2007-07-31T00:00:00,908.04,908.04,908.04,907.95
2007-08-01T00:00:00,925.92,925.92,925.92,923.14
2007-08-02T00:00:00,926.95,926.95,926.95,911.18
2007-08-03T00:00:00,898.24,898.24,898.24,892.88
2007-08-06T00:00:00,894.08,894.08,894.08,883.9
2007-08-07T00:00:00,898.76,898.76,898.76,896.91
2007-08-08T00:00:00,910.05,910.05,910.05,910.05
2007-08-09T00:00:00,938.21,938.21,938.21,938.21
2007-08-10T00:00:00,942.33,942.33,942.33,935.68
2007-08-13T00:00:00,916.68,916.68,916.68,909.15
2007-08-14T00:00:00,923.15,923.15,912.82,923.15
2007-08-15T00:00:00,918.17,918.17,918.17,915.34
2007-08-16T00:00:00,907.54,907.54,900.26,900.26
2007-08-17T00:00:00,889.99,889.99,886.35,887.93
2007-08-20T00:00:00,890.02,890.02,890.02,890.02
2007-08-21T00:00:00,899.99,899.99,899.99,895.72
2007-08-22T00:00:00,898.62,898.62,898.62,892.07
2007-08-23T00:00:00,891.58,891.58,891.58,887.62
2007-08-24T00:00:00,905.48,905.48,905.48,905.48
2007-08-27T00:00:00,911.01,911.01,911.01,909.07
2007-08-28T00:00:00,905.59,905.59,905.59,902.58
2007-08-29T00:00:00,901.17,901.17,901.17,901.17
2007-08-30T00:00:00,905.2,905.2,905.2,903.94
2007-08-31T00:00:00,910.07,910.07,904.57,908.37
2007-09-04T00:00:00,929.85,929.85,919.87,929.85
2007-09-05T00:00:00,938.76,938.76,938.76,925.57
2007-09-06T00:00:00,928.36,928.36,928.36,928.36
2007-09-07T00:00:00,934.13,934.13,929.53,934.13
2007-09-10T00:00:00,933.02,933.02,933.02,927.14
2007-09-11T00:00:00,925.28,925.28,925.28,920.48
2007-09-12T00:00:00,923.83,923.83,923.83,921.19
2007-09-13T00:00:00,921.31,921.31,920.55,921.31
2007-09-14T00:00:00,930.46,930.46,924.14,930.46
2007-09-17T00:00:00,934.74,934.74,932.38,934.74
2007-09-18T00:00:00,935.17,935.17,933.78,935.17
2007-09-19T00:00:00,946.22,946.22,942.52,946.22
2007-09-20T00:00:00,963.61,963.61,960.56,963.61
2007-09-21T00:00:00,965.2,965.2,965.2,958.67
2007-09-24T00:00:00,975.82,975.82,967.89,975.82
2007-09-25T00:00:00,1009.88,1009.88,1005.79,1009.88
2007-09-26T00:00:00,1029.73,1029.73,1029.73,1015.91
